company_name,cik,has_exhibit21,exhibit21_url,subsidiary_count,reason
Neurogene Inc,1404644,False,,0,"10-K found, but Exhibit-21 missing"
Neuromind AI Corp,1045810,False,,0,"10-K found, but Exhibit-21 missing"
Neuronetics Inc,1227636,False,,0,"10-K found, but Exhibit-21 missing"
Neuroone Medical Technologies Corp,1500198,True,https://www.sec.gov/Archives/edgar/data/1500198/000121390024109524/ea022451401ex21-1_neuroone.htm,0,Exhibit-21 found
Neuropace Inc,1528287,False,,0,"10-K found, but Exhibit-21 missing"
Neutra Corp,1512886,False,,0,"10-K found, but Exhibit-21 missing"
Nevada Canyon Gold Corp,1605481,True,https://www.sec.gov/Archives/edgar/data/1605481/000164117225000893/ex21-1.htm,2,Exhibit-21 found
Nevro Corp,34088,False,,0,"10-K found, but Exhibit-21 missing"
New Asia Holdings Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
New Concept Energy Inc,105744,True,https://www.sec.gov/Archives/edgar/data/105744/000121465925004675/ex21_1.htm,1,Exhibit-21 found
NEW England Realty Associates Limited Partnership,746514,False,,0,"10-K found, but Exhibit-21 missing"
NEW ERA Helium Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
New Fortress Energy Inc,1749723,False,,0,"10-K found, but Exhibit-21 missing"
New Horizon Aircraft Ltd,1930021,False,,0,"10-K found, but Exhibit-21 missing"
NEW Jersey Resources Corp,356309,True,https://www.sec.gov/Archives/edgar/data/356309/000035630925000093/njrex211sep2025.htm,1,Exhibit-21 found
NEW Peoples Bankshares Inc,1163389,True,https://www.sec.gov/Archives/edgar/data/1163389/000190359625000149/ex21.htm,2,Exhibit-21 found
NEW YORK Mortgage Trust Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
NEW YORK Times Co,71691,True,https://www.sec.gov/Archives/edgar/data/71691/000007169125000047/ex21_12312024.htm,27,Exhibit-21 found
Newamsterdam Pharma Co NV,1936258,False,,0,"10-K found, but Exhibit-21 missing"
Newbury Street Acquisition Corp,2028027,False,,0,"10-K found, but Exhibit-21 missing"
Newbury Street II Acquisition Corp,2028027,False,,0,"10-K found, but Exhibit-21 missing"
Newell Brands Inc,814453,False,,0,"10-K found, but Exhibit-21 missing"
Newhydrogen Inc,1371128,False,,0,"10-K found, but Exhibit-21 missing"
Newlake Capital Partners Inc,1854964,False,,0,"10-K found, but Exhibit-21 missing"
Newmark Group Inc,1690680,False,,0,"10-K found, but Exhibit-21 missing"
Newmont Corp,1164727,False,,0,"10-K found, but Exhibit-21 missing"
NEWS Corp,1564708,True,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000419/ex-211xfy25listofsubsidiar.htm,136,Exhibit-21 found
Nexgel Inc,1468929,True,https://www.sec.gov/Archives/edgar/data/1468929/000164117225000937/ex21-1.htm,3,Exhibit-21 found
Neximmune Inc,1067983,True,https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/brka-ex21.htm,219,Exhibit-21 found
Nexpoint Real Estate Finance Inc,1786248,True,https://www.sec.gov/Archives/edgar/data/1786248/000178624825000004/nrefex-211subsidiarieslist.htm,36,Exhibit-21 found
Nexstar Media Group Inc,1142417,True,https://www.sec.gov/Archives/edgar/data/1142417/000095017025028949/nxst-ex21_1.htm,5,Exhibit-21 found
Next Technology Holding Inc,1784970,True,https://www.sec.gov/Archives/edgar/data/1784970/000101376225003282/ea023380701ex21-1_nexttech.htm,1,Exhibit-21 found
NEXT-Chemx Corporation,1657045,False,,0,"10-K found, but Exhibit-21 missing"
Nextcure Inc,1661059,False,,0,"10-K found, but Exhibit-21 missing"
Nextdecade Corp,1612720,True,https://www.sec.gov/Archives/edgar/data/1612720/000162828025008841/ex211-4q24.htm,9,Exhibit-21 found
Nextdoor Holdings Inc,1846069,False,,0,"10-K found, but Exhibit-21 missing"
Nextera Energy Inc,753308,True,https://www.sec.gov/Archives/edgar/data/753308/000075330825000011/nee-q42024xex21.htm,9,Exhibit-21 found
Nextnav Inc,1865631,True,https://www.sec.gov/Archives/edgar/data/1865631/000121390025023287/ex211_2.htm,11,Exhibit-21 found
Nextplat Corp,1058307,False,,0,"10-K found, but Exhibit-21 missing"
Nextracker Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Nexttrip Inc,788611,True,https://www.sec.gov/Archives/edgar/data/788611/000164117225012889/ex21-1.htm,3,Exhibit-21 found
Nfiniti Inc,1544400,False,,0,"10-K found, but Exhibit-21 missing"
NI Holdings Inc,1681206,True,https://www.sec.gov/Archives/edgar/data/1681206/000117494725000304/ex21-1.htm,7,Exhibit-21 found
Nicolet Bankshares Inc,1174850,False,,0,"10-K found, but Exhibit-21 missing"
Nightfood Holdings Inc,1593001,False,,0,"10-K found, but Exhibit-21 missing"
NIKA Pharmaceuticals Inc,1145604,False,,0,"10-K found, but Exhibit-21 missing"
NIKE Inc,320187,False,,0,"10-K found, but Exhibit-21 missing"
Nikola Corp,1731289,False,,0,"10-K found, but Exhibit-21 missing"
Nine Energy Service Inc,1532286,True,https://www.sec.gov/Archives/edgar/data/1532286/000153228625000008/nine-20241231ye10kex211.htm,9,Exhibit-21 found
Niocorp Developments Ltd,1512228,True,https://www.sec.gov/Archives/edgar/data/1512228/000153949725002331/n2574_x280ex21-1.htm,2,Exhibit-21 found
Nisource Inc,1111711,True,https://www.sec.gov/Archives/edgar/data/1111711/000111171125000008/ni-ex21x20241231.htm,27,Exhibit-21 found
Nitches Inc,1326801,False,,0,"10-K found, but Exhibit-21 missing"
Nkarta Inc,1787400,False,,0,"10-K found, but Exhibit-21 missing"
Nkgen Biotech Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
NL Industries Inc,72162,True,https://www.sec.gov/Archives/edgar/data/72162/000155837025002417/nl-20241231xex21d1.htm,5,Exhibit-21 found
