CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00131219,ROLLINS INC POLITICAL ACTION COMMITTEE,ROLLINS INC,Q,C,rollins inc,0.0,False,,
C00132092,ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM,ALLIANT ENERGY CORPORATION,Q,C,alliant energy corporation employee s comm,61931.39,true,2016,2026
C00135459,PARKER -HANNIFIN CORPORATION POLITICAL ACTION COMMITTEE,PARKER-HANNIFIN CORPORATION,Q,C,parker hannifin corporation,74900.0,true,2016,2026
C00135681,"FARMERS GROUP, INC., FARMERS INSURANCE EXCHANGE, FIRE INSURANCE EXCHANGE AND TRUCK INSURANCE EXCHANGE POLITICAL ACTION COMMITTEE AKA FARMERS INSURANCE PAC","FARMERS GROUP, INC.",Q,C,farmers group inc farmers insurance exchange fire insurance exchange truck insurance exchange aka farmers insurance,0.0,False,,
C00135855,"DIAMONDBACK ENERGY, INC. POLITICAL ACTION COMMITTEE (DIAMONDBACK ENERGY PAC)","DIAMONDBACK ENERGY, INC.",Q,C,diamondback energy inc diamondback energy,198146.82,true,2022,2026
C00137265,JOHN HANCOCK LIFE INSURANCE COMPANY (USA) FEDERAL POLITICAL ACTION COMMITTEE,JOHN HANCOCK LIFE INSURANCE COMPANY (USA),Q,C,john hancock life insurance company usa federal,0.0,False,,
C00137273,M&T BANK AND WILMINGTON TRUST POLITICAL ACTION COMMITTEE,M&T BANK,Q,C,m t bank wilmington trust,122200.0,true,2016,2026
C00138974,TTX PAC,NONE,Q,C,ttx,51685.32,true,2020,2026
C00139279,MICHIGAN CREDIT UNION LEAGUE LEGISLATIVE ACTION FUND,CULAC (C0007880),Q,C,michigan credit union league legislative,0.0,False,,
C00140855,FIRSTENERGY CORP. POLITICAL ACTION COMMITTEE,FIRSTENERGY CORP.,Q,C,firstenergy corp,8000.0,true,2016,2024
C00141218,EXELON CORPORATION POLITICAL ACTION COMMITTEE (EXELON PAC),EXELON CORPORATION,Q,C,exelon corporation exelon,0.0,False,,
C00141382,"GANNETT FLEMING, INC  PAC","GANNETT FLEMING, INC.",Q,C,gannett fleming inc,0.0,False,,
C00142158,COVANTA ENERGY LLC POLITICAL ACTION COMMITTEE (COVANTA PAC),COVANTA HOLDING CORPORATION,Q,C,covanta energy llc covanta,0.0,False,,
C00142299,JACOBS GOOD GOVERNMENT FUND OF JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC.,Q,C,jacobs good government jacobs engineering group inc,0.0,False,,
C00142315,BOYD GAMING CORPORATION POLITICAL ACTION COMMITTEE,BOYD GAMING CORPORATION,Q,C,boyd gaming corporation,40312.5,true,2016,2024
C00142372,PENN MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,PENN MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,Q,C,penn mutual life insurance company,0.0,False,,
C00142489,ALLETE PAC,"ALLETE, INC.",Q,C,allete,0.0,False,,
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,THE BOEING COMPANY,Q,C,boeing company,51000.0,true,2016,2024
C00142786,NIKE INC FEDERAL POLITICAL ACTION COMMITTEE (NIKE FEDERAL PAC),"NIKE, INC.",Q,C,nike inc federal nike federal,10996.0,true,2016,2018
C00143164,"ONEAMERICA FINANCIAL PARTNERS, INC. PAC","ONEAMERICA FINANCIAL PARTNERS, INC. PAC",Q,C,oneamerica financial partners inc,0.0,False,,
C00143867,EQUIFAX INC. POLITICAL ACTION COMMITTEE,"EQUIFAX INC,",Q,C,equifax inc,56488.9,true,2020,2026
C00144345,SANOFI US SERVICES INC. EMPLOYEES' POLITICAL ACTION COMMITTEE,SANOFI US SERVICES INC,Q,C,sanofi us services inc,0.0,False,,
C00145037,"SOUTHERN COMPANY GAS PAC, INC.",SOUTHERN COMPANY GAS,Q,C,southern company gas inc,0.0,False,,
