company,company_norm,ticker_candidates_str
Merchants Bancorp,MERCHANTS BANCORP,MBIN|MBINL|MBINM|MBINN
METLIFE INC,METLIFE,MET|MET.PRA|MET.PRE|MET.PRF
"MFA FINANCIAL, INC.",MFA FINANCIAL,MFA|MFA.PRB|MFA.PRC|MFAN|MFAO
MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY,MCHP|MCHPP
MID AMERICA APARTMENT COMMUNITIES INC.,MID AMERICA APARTMENT COMMUNITIES,MAA|MAA.PRI
MidCap Financial Investment Corp,MIDCAP FINANCIAL INVESTMENT,MFIC|MFICL
"Midland States Bancorp, Inc.",MIDLAND STATES BANCORP,MSBI|MSBIP
"MODIV INDUSTRIAL, INC.",MODIV INDUSTRIAL,MDV|MDV.PRA
MOLSON COORS BEVERAGE CO,MOLSON COORS BEVERAGE,TAP|TAP.A
MOOG INC.,MOOG,MOG.A|MOG.B
MORGAN STANLEY,MORGAN STANLEY,MS|MS.PRA|MS.PRE|MS.PRF|MS.PRI|MS.PRK|MS.PRL|MS.PRO|MS.PRP|MS.PRQ
Mountain Crest Acquisition Corp. V,MOUNTAIN CREST ACQUISITION CORP V,MCAG|MCAGR|MCAGU
Mountain Lake Acquisition Corp.,MOUNTAIN LAKE ACQUISITION,MLAC|MLACR|MLACU
MOVADO GROUP INC,MOVADO,MOV|MOVAA
Nabors Energy Transition Corp. II,NABORS ENERGY TRANSITION CORP II,NETD|NETDU
National Storage Affiliates Trust,NATIONAL STORAGE AFFILIATES TRUST,NSA|NSA.PRA|NSA.PRB
NAVIENT CORP,NAVIENT,JSM|NAVI
NCR Voyix Corp,NCR VOYIX,NCRRP|VYX
NeuroMind AI Corp.,NEUROMIND AI,GGAAF|GGAUF
Newbury Street Acquisition Corp,NEWBURY STREET ACQUISITION,NBST|NBSTU
Newbury Street II Acquisition Corp,NEWBURY STREET II ACQUISITION,NTWO|NTWOU
NEWMONT Corp /DE/,NEWMONT,NEM|NEMCL
NEWS CORP,NEWS,NWS|NWSA
"NexPoint Real Estate Finance, Inc.",NEXPOINT REAL ESTATE FINANCE,NREF|NREF.PRA
NEXTERA ENERGY INC,NEXTERA ENERGY,NEE|NEE.PRS|NEE.PRT
NSTAR ELECTRIC CO,NSTAR ELECTRIC,NSARO|NSARP
Oak Woods Acquisition Corp,OAK WOODS ACQUISITION,OAKU|OAKUR|OAKUU
OFS Capital Corp,OFS CAPITAL,OFS|OFSSH
OLD NATIONAL BANCORP /IN/,OLD NATIONAL BANCORP,ONB|ONBPO|ONBPP
Papaya Growth Opportunity Corp. I,PAPAYA GROWTH OPPORTUNITY CORP I,PPYA|PPYAU
Pebblebrook Hotel Trust,PEBBLEBROOK HOTEL TRUST,PEB|PEB.PRE|PEB.PRF|PEB.PRG|PEB.PRH
PEOPLES BANCORP INC,PEOPLES BANCORP,PEBC|PEBO|PPBB
PG&E Corp,PG AND E,PCG|PCG.PRX
PhenixFIN Corp,PHENIXFIN,PFX|PFXNZ
PINNACLE FINANCIAL PARTNERS INC,PINNACLE FINANCIAL PARTNERS,PNFP|PNFPP
PITNEY BOWES INC /DE/,PITNEY BOWES,PBI|PBI.PRB
PLAINS ALL AMERICAN PIPELINE LP,PLAINS ALL AMERICAN PIPELINE,PAA|PAAPU
Polaris Inc.,POLARIS,JMOTF|PII
Power REIT,POWER REIT,PW|PW.PRA
"Presidio Property Trust, Inc.",PRESIDIO PROPERTY TRUST,SQFT|SQFTP
"Priority Technology Holdings, Inc.",PRIORITY TECHNOLOGY,PRTH|PRTHU
"Prologis, Inc.",PROLOGIS,PLD|PLDGP
PROSPECT CAPITAL CORP,PROSPECT CAPITAL,PSEC|PSEC.PRA
PRUDENTIAL FINANCIAL INC,PRUDENTIAL FINANCIAL,PFH|PRH|PRS|PRU
Public Storage,PUBLIC STORAGE,PSA|PSA.PRF|PSA.PRG|PSA.PRH|PSA.PRI|PSA.PRJ|PSA.PRK|PSA.PRL|PSA.PRM|PSA.PRN|PSA.PRO|PSA.PRP|PSA.PRQ|PSA.PRR|PSA.PRS
Quetta Acquisition Corp,QUETTA ACQUISITION,QETA|QETAR|QETAU
"Ramaco Resources, Inc.",RAMACO RESOURCES,METC|METCB
RAYMOND JAMES FINANCIAL INC,RAYMOND JAMES FINANCIAL,RJF|RJF.PRB
READING INTERNATIONAL INC,READING INTERNATIONAL,RDI|RDIB
Ready Capital Corp,READY CAPITAL,RC|RC.PRC|RC.PRE|RCB|RCC|RCD
REGENCY CENTERS CORP,REGENCY CENTERS,REG|REGCO|REGCP
"REGIONAL HEALTH PROPERTIES, INC",REGIONAL HEALTH PROPERTIES,RHEP|RHEPB
REGIONS FINANCIAL CORP,REGIONS FINANCIAL,RF|RF.PRC|RF.PRE|RF.PRF
REINSURANCE GROUP OF AMERICA INC,REINSURANCE GROUP OF AMERICA,RGA|RZB|RZC
RENAISSANCERE HOLDINGS LTD,RENAISSANCERE,RNR|RNR.PRF|RNR.PRG
RESMED INC,RESMED,RMD|RSMDF
"Rexford Industrial Realty, Inc.",REXFORD INDUSTRIAL REALTY,REXR|REXR.PRB|REXR.PRC
RF Acquisition Corp II,RF ACQUISITION CORP II,RFAI|RFAIR|RFAIU
Rigel Resource Acquisition Corp.,RIGEL RESOURCE ACQUISITION,RRAC.U|RRACF
Rithm Capital Corp.,RITHM CAPITAL,RITM|RITM.PRA|RITM.PRB|RITM.PRC|RITM.PRD
Roman DBDR Acquisition Corp. II,ROMAN DBDR ACQUISITION CORP II,DRDB|DRDBU
Runway Growth Finance Corp.,RUNWAY GROWTH FINANCE,RWAY|RWAYL|RWAYZ
Sachem Capital Corp.,SACHEM CAPITAL,SACH|SACH.PRA|SCCD|SCCE|SCCF|SCCG
SARATOGA INVESTMENT CORP.,SARATOGA INVESTMENT,SAJ|SAR|SAT|SAY|SAZ
"SAUL CENTERS, INC.",SAUL CENTERS,BFS|BFS.PRD|BFS.PRE
SELECTIVE INSURANCE GROUP INC,SELECTIVE INSURANCE,SIGI|SIGIP
Seritage Growth Properties,SERITAGE GROWTH PROPERTIES,SRG|SRG.PRA
"Shift4 Payments, Inc.",SHIFT4 PAYMENTS,FOUR|FOUR.PRA
SIMON PROPERTY GROUP INC /DE/,SIMON PROPERTY,SPG|SPG.PRJ
SL GREEN REALTY CORP,SL GREEN REALTY,SLG|SLG.PRI
SLM Corp,SLM,SLM|SLMBP
"SmartStop Self Storage REIT, Inc.",SMARTSTOP SELF STORAGE REIT,SMA|SSST|STSFF
"Soluna Holdings, Inc",SOLUNA,SLNH|SLNHP
"Sound Point Meridian Capital, Inc.",SOUND POINT MERIDIAN CAPITAL,SPMA|SPMC|SPME
SOUTHERN CALIFORNIA GAS CO,SOUTHERN CALIFORNIA GAS,SOCGM|SOCGP
"SPAR Group, Inc.",SPAR,SGPPF|SGPPY|SGRP
Spark I Acquisition Corp,SPARK I ACQUISITION,SPKL|SPKLU
SPIRE INC,SPIRE,SR|SR.PRA
