company,company_norm,looks_like_fund_or_etf
Global Star Acquisition Inc.,GLOBAL STAR ACQUISITION,False
GMS Inc.,GMS,False
"GOLD ROCK HOLDINGS, INC.",GOLD ROCK,False
Golden Star Acquisition Corp,GOLDEN STAR ACQUISITION,False
Goldman Sachs Physical Gold ETF,GOLDMAN SACHS PHYSICAL GOLD ETF,True
GRAY TELEVISION INC,GRAY TELEVISION,False
Grayscale Bitcoin Trust ETF,GRAYSCALE BITCOIN TRUST ETF,True
Greenbrook TMS Inc.,GREENBROOK TMS,False
"Gryphon Digital Mining, Inc.",GRYPHON DIGITAL MINING,False
GSR III Acquisition Corp.,GSR III ACQUISITION,False
GUARANTY BANCSHARES INC /TX/,GUARANTY BANCSHARES,False
"H&E Equipment Services, Inc.",H AND E EQUIPMENT SERVICES,False
"Hanover Bancorp, Inc. /NY",HANOVER BANCORP INC NY,False
"Hanryu Holdings, Inc.",HANRYU,False
"HARTFORD FINANCIAL SERVICES GROUP, INC.",HARTFORD FINANCIAL SERVICES,False
HEARTLAND FINANCIAL USA INC,HEARTLAND FINANCIAL USA,False
"Heliogen, Inc.",HELIOGEN,False
Helix Acquisition Corp. II,HELIX ACQUISITION CORP II,False
Hennessy Capital Investment Corp. VI,HENNESSY CAPITAL INVESTMENT CORP VI,False
HESS CORP,HESS,False
"HilleVax, Inc.",HILLEVAX,False
HILLS BANCORPORATION,HILLS BANCORPORATION,False
"HomeStreet, Inc.",HOMESTREET,False
Hudson Acquisition I Corp.,HUDSON ACQUISITION I,False
"Hudson Global, Inc.",HUDSON GLOBAL,False
HUDSON TECHNOLOGIES INC /NY,HUDSON TECHNOLOGIES INC NY,False
HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES,False
Hyzon Motors Inc.,HYZON MOTORS,False
ICAD INC,ICAD,False
"ICC Holdings, Inc.",ICC,False
ICU MEDICAL INC/DE,ICU MEDICAL INC DE,False
"IDEANOMICS, INC.",IDEANOMICS,False
IDEXX LABORATORIES INC /DE,IDEXX LABORATORIES INC DE,False
"IGM Biosciences, Inc.",IGM BIOSCIENCES,False
"Ikena Oncology, Inc.",IKENA ONCOLOGY,False
"Inari Medical, Inc.",INARI MEDICAL,False
"Independence Contract Drilling, Inc.",INDEPENDENCE CONTRACT DRILLING,False
INDEPENDENT BANK CORP,INDEPENDENT BANK,False
INDEPENDENT BANK CORP /MI/,INDEPENDENT BANK,False
Infinera Corp,INFINERA,False
Inflection Point Acquisition Corp. II,INFLECTION POINT ACQUISITION CORP II,False
"Inozyme Pharma, Inc.",INOZYME PHARMA,False
"InPoint Commercial Real Estate Income, Inc.",INPOINT COMMERCIAL REAL ESTATE INCOME,False
Insight Acquisition Corp. /DE,INSIGHT ACQUISITION CORP DE,False
Insight Select Income Fund,INSIGHT SELECT INCOME FUND,True
"INTEGRATED VENTURES, INC.",INTEGRATED VENTURES,False
IntelGenx Technologies Corp.,INTELGENX TECHNOLOGIES,False
INTEVAC INC,INTEVAC,False
"Intra-Cellular Therapies, Inc.",INTRA CELLULAR THERAPIES,False
Invesco CurrencyShares Australian Dollar Trust,INVESCO CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,True
Invesco Galaxy Bitcoin ETF,INVESCO GALAXY BITCOIN ETF,True
Investcorp AI Acquisition Corp.,INVESTCORP AI ACQUISITION,False
Invizyne Technologies Inc,INVIZYNE TECHNOLOGIES,False
Iris Acquisition Corp,IRIS ACQUISITION,False
Iron Horse Acquisitions Corp.,IRON HORSE ACQUISITIONS,False
iShares Silver Trust,ISHARES SILVER TRUST,True
ISSUER DIRECT CORP,ISSUER DIRECT,False
"iTeos Therapeutics, Inc.",ITEOS THERAPEUTICS,False
"J.Jill, Inc.",J JILL,False
Janover Inc.,JANOVER,False
John Bean Technologies CORP,JOHN BEAN TECHNOLOGIES,False
JUNIPER NETWORKS INC,JUNIPER NETWORKS,False
JVSPAC Acquisition Corp.,JVSPAC ACQUISITION,False
"KINETA, INC./DE",KINETA INC DE,False
"KIRKLAND'S, INC",KIRKLAND S,False
"KNOW LABS, INC.",KNOW LABS,False
"Kronos Bio, Inc.",KRONOS BIO,False
KVH INDUSTRIES INC DE,KVH INDUSTRIES INC DE,False
LANCASTER COLONY CORP,LANCASTER COLONY,False
Landsea Homes Corp,LANDSEA HOMES,False
"Leafly Holdings, Inc. /DE",LEAFLY HOLDINGS INC DE,False
Leet Technology Inc.,LEET TECHNOLOGY,False
LEHMAN ABS CORP GOLDMAN SACHS CAP 1 SEC BACKED SER 2004-6,LEHMAN ABS CORP GOLDMAN SACHS CAP 1 SEC BACKED SER 2004 6,False
"LIFECORE BIOMEDICAL, INC. \DE\",LIFECORE BIOMEDICAL INC DE,False
LIONS GATE ENTERTAINMENT CORP /CN/,LIONS GATE ENTERTAINMENT,False
LITTELFUSE INC /DE,LITTELFUSE INC DE,False
Local Bounti Corporation/DE,LOCAL BOUNTI CORPORATION DE,False
Lode-Star Mining Inc.,LODE STAR MINING,False
Logan Ridge Finance Corp.,LOGAN RIDGE FINANCE,False
LOGITECH INTERNATIONAL S.A.,LOGITECH INTERNATIONAL S A,False
"Longboard Pharmaceuticals, Inc.",LONGBOARD PHARMACEUTICALS,False
"Loop Media, Inc.",LOOP MEDIA,False
LOWES COMPANIES INC,LOWES COMPANIES,False
"Luminar Technologies, Inc./DE",LUMINAR TECHNOLOGIES INC DE,False
"LUMOS PHARMA, INC.",LUMOS PHARMA,False
LUXURBAN HOTELS INC.,LUXURBAN HOTELS,False
"Manitex International, Inc.",MANITEX INTERNATIONAL,False
MARIN SOFTWARE INC,MARIN SOFTWARE,False
"MARINUS PHARMACEUTICALS, INC.",MARINUS PHARMACEUTICALS,False
Markforged Holding Corp,MARKFORGED,False
Mars Acquisition Corp.,MARS ACQUISITION,False
"Matterport, Inc./DE",MATTERPORT INC DE,False
MAYS J W INC,MAYS J W,False
MCDONALDS CORP,MCDONALDS,False
McEwen Mining Inc.,MCEWEN MINING,False
"MedMen Enterprises, Inc.",MEDMEN ENTERPRISES,False
"MEI Pharma, Inc.",MEI PHARMA,False
Melar Acquisition Corp. I/Cayman,MELAR ACQUISITION CORP I CAYMAN,False
MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003 1,True
Merus N.V.,MERUS N V,False
MESA ROYALTY TRUST/TX,MESA ROYALTY TRUST TX,True
Metal Sky Star Acquisition Corp,METAL SKY STAR ACQUISITION,False
MGO Global Inc.,MGO GLOBAL,False
MICROPAC INDUSTRIES INC,MICROPAC INDUSTRIES,False
MICROSTRATEGY Inc,MICROSTRATEGY,False
"Mill City Ventures III, Ltd",MILL CITY VENTURES III,False
Minerva Gold Inc.,MINERVA GOLD,False
MKS INSTRUMENTS INC,MKS INSTRUMENTS,False
"Molecular Templates, Inc.",MOLECULAR TEMPLATES,False
"Mondee Holdings, Inc.",MONDEE,False
MONEYLION INC.,MONEYLION,False
Monogram Technologies Inc.,MONOGRAM TECHNOLOGIES,False
MOODYS CORP /DE/,MOODYS,False
MULLEN AUTOMOTIVE INC.,MULLEN AUTOMOTIVE,False
"MULTI SOLUTIONS II, INC",MULTI SOLUTIONS II,False
MultiPlan Corp,MULTIPLAN,False
NANOPHASE TECHNOLOGIES Corp,NANOPHASE TECHNOLOGIES,False
"NantHealth, Inc.",NANTHEALTH,False
"NATHANS FAMOUS, INC.",NATHANS FAMOUS,False
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE,False
NATURES SUNSHINE PRODUCTS INC,NATURES SUNSHINE PRODUCTS,False
"NAYA Biosciences, Inc.",NAYA BIOSCIENCES,False
"NeueHealth, Inc.",NEUEHEALTH,False
NEURALBASE AI LTD.,NEURALBASE AI,False
NEVRO CORP,NEVRO,False
NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,False
NEW ERA HELIUM INC.,NEW ERA HELIUM,False
NEW YORK MORTGAGE TRUST INC,NEW YORK MORTGAGE TRUST,True
NewAmsterdam Pharma Co N.V.,NEWAMSTERDAM PHARMA CO N V,False
NFiniTi inc.,NFINITI,False
NORDSTROM INC,NORDSTROM,False
North Haven Private Income Fund LLC,NORTH HAVEN PRIVATE INCOME FUND,True
NorthView Acquisition Corp,NORTHVIEW ACQUISITION,False
NORTHWEST PIPE CO,NORTHWEST PIPE,False
Nowtransit Inc,NOWTRANSIT,False
"NV5 Global, Inc.",NV5 GLOBAL,False
NXP Semiconductors N.V.,NXP SEMICONDUCTORS N V,False
"Nxu, Inc.",NXU,False
Oaktree Acquisition Corp. III Life Sciences,OAKTREE ACQUISITION CORP III LIFE SCIENCES,False
OCA Acquisition Corp.,OCA ACQUISITION,False
OCULUS VISIONTECH INC.,OCULUS VISIONTECH,False
"Odyssey Health, Inc.",ODYSSEY HEALTH,False
Oil-Dri Corp of America,OIL DRI CORP OF AMERICA,False
OLD POINT FINANCIAL CORP,OLD POINT FINANCIAL,False
Olo Inc.,OLO,False
"Omega Therapeutics, Inc.",OMEGA THERAPEUTICS,False
Oncocyte Corp,ONCOCYTE,False
"Oncternal Therapeutics, Inc.",ONCTERNAL THERAPEUTICS,False
"OptiNose, Inc.",OPTINOSE,False
"ORGANOVO HOLDINGS, INC.",ORGANOVO,False
Orion Bliss Corp.,ORION BLISS,False
Orion Office REIT Inc.,ORION OFFICE REIT,False
Orion S.A.,ORION S A,False
Outbrain Inc.,OUTBRAIN,False
PACIFIC PREMIER BANCORP INC,PACIFIC PREMIER BANCORP,False
PACIFICORP /OR/,PACIFICORP,False
Pactiv Evergreen Inc.,PACTIV EVERGREEN,False
"PALTALK, INC.",PALTALK,False
PAPA JOHNS INTERNATIONAL INC,PAPA JOHNS INTERNATIONAL,False
"Pathfinder Bancorp, Inc.",PATHFINDER BANCORP,False
"PATTERSON COMPANIES, INC.",PATTERSON COMPANIES,False
"PAYCOR HCM, INC.",PAYCOR HCM,False
PENNS WOODS BANCORP INC,PENNS WOODS BANCORP,False
Perception Capital Corp. IV,PERCEPTION CAPITAL CORP IV,False
PHOENIX MOTOR INC.,PHOENIX MOTOR,False
Phoenix Plus Corp.,PHOENIX PLUS,False
PHX MINERALS INC.,PHX MINERALS,False
Piedmont Lithium Inc.,PIEDMONT LITHIUM,False
"Piedmont Office Realty Trust, Inc.",PIEDMONT OFFICE REALTY TRUST,True
"PIERIS PHARMACEUTICALS, INC.",PIERIS PHARMACEUTICALS,False
"Pinstripes Holdings, Inc.",PINSTRIPES,False
"Pioneer Bancorp, Inc./MD",PIONEER BANCORP INC MD,False
"PishPosh, Inc.",PISHPOSH,False
Playa Hotels & Resorts N.V.,PLAYA HOTELS AND RESORTS N V,False
"PlayAGS, Inc.",PLAYAGS,False
"PLBY Group, Inc.",PLBY,False
Plum Acquisition Corp. III,PLUM ACQUISITION CORP III,False
Portillo's Inc.,PORTILLO S,False
Portman Ridge Finance Corp,PORTMAN RIDGE FINANCE,False
"Poseida Therapeutics, Inc.",POSEIDA THERAPEUTICS,False
PowerUp Acquisition Corp.,POWERUP ACQUISITION,False
PREMIER FINANCIAL CORP,PREMIER FINANCIAL,False
Premium Nickel Resources Ltd.,PREMIUM NICKEL RESOURCES,False
PRICE T ROWE GROUP INC,PRICE T ROWE,False
PROFIRE ENERGY INC,PROFIRE ENERGY,False
PROGRESS SOFTWARE CORP /MA,PROGRESS SOFTWARE CORP MA,False
ProShares Trust II,PROSHARES TRUST II,True
"Protagenic Therapeutics, Inc.new",PROTAGENIC THERAPEUTICS INC NEW,False
PROTHENA CORP PUBLIC LTD CO,PROTHENA CORP PUBLIC,False
"Provident Bancorp, Inc. /MD/",PROVIDENT BANCORP,False
PUBLIC CO MANAGEMENT CORP,PUBLIC CO MANAGEMENT,False
PUBLIC SERVICE CO OF NEW MEXICO,PUBLIC SERVICE CO OF NEW MEXICO,False
"PURE BIOSCIENCE, INC.",PURE BIOSCIENCE,False
QUALCOMM INC/DE,QUALCOMM INC DE,False
R F INDUSTRIES LTD,R F INDUSTRIES,False
"RADIUS RECYCLING, INC.",RADIUS RECYCLING,False
Ranger Gold Corp.,RANGER GOLD,False
"RCM TECHNOLOGIES, INC.",RCM TECHNOLOGIES,False
Redfin Corp,REDFIN,False
"REGENEREX PHARMA, INC.",REGENEREX PHARMA,False
Regulus Therapeutics Inc.,REGULUS THERAPEUTICS,False
"Reliant Holdings, Inc.",RELIANT,False
RENOVARO INC.,RENOVARO,False
ReShape Lifesciences Inc.,RESHAPE LIFESCIENCES,False
"Resonate Blends, Inc.",RESONATE BLENDS,False
Restaurant Brands International Limited Partnership,RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP,False
RETAIL OPPORTUNITY INVESTMENTS CORP,RETAIL OPPORTUNITY INVESTMENTS,False
"Revance Therapeutics, Inc.",REVANCE THERAPEUTICS,False
"Revelyst, Inc.",REVELYST,False
RF Acquisition Corp.,RF ACQUISITION,False
Rithm Property Trust Inc.,RITHM PROPERTY TRUST,True
"Rocket Lab USA, Inc.",ROCKET LAB USA,False
"Rocky Mountain Chocolate Factory, Inc.",ROCKY MOUNTAIN CHOCOLATE FACTORY,False
Roth CH Acquisition V Co.,ROTH CH ACQUISITION V,False
"Royale Energy, Inc.",ROYALE ENERGY,False
RUSH ENTERPRISES INC TX,RUSH ENTERPRISES INC TX,False
"Sacks Parente Golf, Inc.",SACKS PARENTE GOLF,False
"Sage Therapeutics, Inc.",SAGE THERAPEUTICS,False
SANDY SPRING BANCORP INC,SANDY SPRING BANCORP,False
SANFILIPPO JOHN B & SON INC,SANFILIPPO JOHN B AND SON,False
