CONNECTED_ORG_NM,pac_count,active_pac_count,has_any_pac_donated,total_pac_amount,has_pac,has_pac_donations
GOOGLE LLC,1,1,True,19510.6,True,True
"GRAND CANYON EDUCATION, INC",1,0,False,0.0,True,False
GRAND TRUNK WESTERN RAILROAD COMPANY,1,0,False,0.0,True,False
GRANGE INSURANCE,1,0,False,0.0,True,False
"GRAPHIC PACKAGING INTERNATIONAL, LLC",1,0,False,0.0,True,False
GRAYROBINSON P.A.,1,0,False,0.0,True,False
GREAT SOUTHERN BANK,1,0,False,0.0,True,False
GREYHOUND LINES,1,0,False,0.0,True,False
GROUP 1 AUTOMOTIVE INC,1,0,False,0.0,True,False
"GULF STATES TOYOTA, INC.",1,0,False,0.0,True,False
H&R BLOCK INC.,1,1,True,88416.72,True,True
HALLIBURTON COMPANY,1,1,True,120000.0,True,True
"HANGER, INC.",1,0,False,0.0,True,False
"HCA HEALTHCARE,  INC.",1,1,True,158850.08,True,True
"HDR, INC.",1,0,False,0.0,True,False
HEINEKEN USA INC.,1,0,False,0.0,True,False
HERBALIFE INTERNATIONAL INC.,1,0,False,0.0,True,False
HERZOG,1,0,False,0.0,True,False
HESS CORPORATION,1,0,False,0.0,True,False
HEWLETT PACKARD ENTERPRISE COMPANY,1,1,True,13488.31,True,True
HEXION INC.,1,1,True,2313.26,True,True
HIGHMARK INC.,1,0,False,0.0,True,False
"HILL-ROM HOLDINGS, INC.",1,0,False,0.0,True,False
HILTON WORLDWIDE,1,1,True,74500.0,True,True
HMS HOLDINGS CORP.,1,0,False,0.0,True,False
HOLCIM (US) INC.,1,0,False,0.0,True,False
HOMESTREET INC.,1,0,False,0.0,True,False
HONEYWELL INTERNATIONAL,1,1,True,261153.03,True,True
"HORIZON THERAPEUTICS USA, INC.",1,0,False,0.0,True,False
HOWMET AEROSPACE INC.,1,0,False,0.0,True,False
HSBC NORTH AMERICA,2,0,False,0.0,True,False
HUMANA INC.,1,1,True,97594.89,True,True
HUNTINGTON BANCSHARES INC.,1,1,True,17500.0,True,True
"HUNTINGTON INGALLS INDUSTRIES, INC.",1,1,True,50715.37,True,True
"HY-VEE, INC.",1,0,False,0.0,True,False
IAC/INTERACTIVECORP,1,0,False,0.0,True,False
"IDEMIA IDENTITY & SECURITY USA, LLC",1,0,False,0.0,True,False
IGT GLOBAL SOLUTIONS CORPORATION,1,0,False,0.0,True,False
IHEARTMEDIA INC.,1,0,False,0.0,True,False
INSPIRE BRANDS INC.,1,0,False,0.0,True,False
INTEL CORPORATION,1,0,False,0.0,True,False
