company,company_norm,ticker_candidates_str,TICKER_COMMON
National Storage Affiliates Trust,NATIONAL STORAGE AFFILIATES TRUST,NSA|NSA.PRA|NSA.PRB,NSA
NAVIENT CORP,NAVIENT,JSM|NAVI,JSM
NCR Voyix Corp,NCR VOYIX,NCRRP|VYX,NCRRP
NeuroMind AI Corp.,NEUROMIND AI,GGAAF|GGAUF,GGAAF
Newbury Street Acquisition Corp,NEWBURY STREET ACQUISITION,NBST|NBSTU,NBST
Newbury Street II Acquisition Corp,NEWBURY STREET II ACQUISITION,NTWO|NTWOU,NTWO
NEWMONT Corp /DE/,NEWMONT,NEM|NEMCL,NEM
NEWS CORP,NEWS,NWS|NWSA,NWS
"NexPoint Real Estate Finance, Inc.",NEXPOINT REAL ESTATE FINANCE,NREF|NREF.PRA,NREF
NEXTERA ENERGY INC,NEXTERA ENERGY,NEE|NEE.PRS|NEE.PRT,NEE
NSTAR ELECTRIC CO,NSTAR ELECTRIC,NSARO|NSARP,NSARO
Oak Woods Acquisition Corp,OAK WOODS ACQUISITION,OAKU|OAKUR|OAKUU,OAKU
OFS Capital Corp,OFS CAPITAL,OFS|OFSSH,OFS
OLD NATIONAL BANCORP /IN/,OLD NATIONAL BANCORP,ONB|ONBPO|ONBPP,ONB
Papaya Growth Opportunity Corp. I,PAPAYA GROWTH OPPORTUNITY CORP I,PPYA|PPYAU,PPYA
Pebblebrook Hotel Trust,PEBBLEBROOK HOTEL TRUST,PEB|PEB.PRE|PEB.PRF|PEB.PRG|PEB.PRH,PEB
PEOPLES BANCORP INC,PEOPLES BANCORP,PEBC|PEBO|PPBB,PEBC
PG&E Corp,PG AND E,PCG|PCG.PRX,PCG
PhenixFIN Corp,PHENIXFIN,PFX|PFXNZ,PFX
PINNACLE FINANCIAL PARTNERS INC,PINNACLE FINANCIAL PARTNERS,PNFP|PNFPP,PNFP
PITNEY BOWES INC /DE/,PITNEY BOWES,PBI|PBI.PRB,PBI
PLAINS ALL AMERICAN PIPELINE LP,PLAINS ALL AMERICAN PIPELINE,PAA|PAAPU,PAA
Polaris Inc.,POLARIS,JMOTF|PII,JMOTF
Power REIT,POWER REIT,PW|PW.PRA,PW
"Presidio Property Trust, Inc.",PRESIDIO PROPERTY TRUST,SQFT|SQFTP,SQFT
"Priority Technology Holdings, Inc.",PRIORITY TECHNOLOGY,PRTH|PRTHU,PRTH
"Prologis, Inc.",PROLOGIS,PLD|PLDGP,PLD
PROSPECT CAPITAL CORP,PROSPECT CAPITAL,PSEC|PSEC.PRA,PSEC
PRUDENTIAL FINANCIAL INC,PRUDENTIAL FINANCIAL,PFH|PRH|PRS|PRU,PFH
Public Storage,PUBLIC STORAGE,PSA|PSA.PRF|PSA.PRG|PSA.PRH|PSA.PRI|PSA.PRJ|PSA.PRK|PSA.PRL|PSA.PRM|PSA.PRN|PSA.PRO|PSA.PRP|PSA.PRQ|PSA.PRR|PSA.PRS,PSA
Quetta Acquisition Corp,QUETTA ACQUISITION,QETA|QETAR|QETAU,QETA
"Ramaco Resources, Inc.",RAMACO RESOURCES,METC|METCB,METC
RAYMOND JAMES FINANCIAL INC,RAYMOND JAMES FINANCIAL,RJF|RJF.PRB,RJF
READING INTERNATIONAL INC,READING INTERNATIONAL,RDI|RDIB,RDI
