CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00409789,"BLESSEY MARINE SERVICE, INC. POLITICAL ACTION COMMITTEE",BLESSEY MARINE SERVICE INC,Q,C,blessey marine service inc,0.0,False,,
C00409979,DYNCORP INTERNATIONAL LLC POLITICAL ACTION COMMITTEE (DIPAC),DYNCORP INTERNATIONAL LLC,Q,C,dyncorp international llc dipac,0.0,False,,
C00410266,THE VANGUARD GROUP COMMITTEE FOR RESPONSIBLE GOVERNMENT,THE VANGUARD GROUP,Q,C,vanguard group responsible government,0.0,False,,
C00410274,MASTERCARD INTERNATIONAL INC. EMPLOYEES' PAC,MASTERCARD INTERNATIONAL INC.,Q,C,mastercard international inc,0.0,False,,
C00410324,"RENT-A-CENTER, INC. GOOD GOVERNMENT POLITICAL ACTION COMMITTEE","RENT-A-CENTER, INC.",Q,C,rent a center inc good government,0.0,False,,
C00410589,CERNER CORPORATION PAC,CERNER CORPORATION,Q,C,cerner corporation,0.0,False,,
C00410654,PHARMAVITE LLC POLITICAL ACTION COMMITTEE (PHARMAVITE PAC),"OTSUKA AMERICA, INC.",Q,C,pharmavite llc pharmavite,0.0,False,,
C00411389,OVERSEAS SHIPHOLDING GROUP INC PAC,OVERSEAS SHIPHOLDING GROUP INC,Q,C,overseas shipholding group inc,0.0,False,,
C00411694,"SALTCHUK RESOURCES, INC. PAC","SALTCHUK RESOURCES, INC. PAC",Q,C,saltchuk resources inc,0.0,False,,
C00411769,"QC HOLDINGS, INC. POLITICAL ACTION COMMITTEE","QC HOLDINGS, INC.",Q,C,qc holdings inc,0.0,False,,
C00411918,TIVITY HEALTH FEDERAL PAC,TIVITY HEALTH,Q,C,tivity health federal,0.0,False,,
C00412635,"GIBBONS P.C. PAC, INC.",GIBBONS P.C.,Q,C,gibbons p c inc,0.0,False,,
C00413575,"MWW GROUP INC POLITICAL ACTION COMMITTEE, THE","MWW GROUP, INC.",Q,C,mww group inc,0.0,False,,
C00414185,EZCORP INC. POLITICAL ACTION COMMITTEE,"EZCORP, INC.",Q,C,ezcorp inc,0.0,False,,
C00416305,FIRST COLONIES ANESTHESIA ASSOCIATES LLC POLITICAL ACTION COMMITTEE,"FIRST COLONIES ANESTHESIA ASSOCIATES, LLC",Q,C,first colonies anesthesia associates llc,0.0,False,,
C00416693,CORELOGIC INC PAC,"CORELOGIC, INC.",Q,C,corelogic inc,0.0,False,,
C00417139,KB HOME AMERICAN DREAM PAC,KB HOME,Q,C,kb home american dream,0.0,False,,
C00417774,CALIFORNIA COAST CREDIT UNION FEDERAL PAC,CALIFORNIA COAST CREDIT UNION,Q,C,california coast credit union federal,0.0,False,,
C00418269,AMERICAN COMMERCIAL BARGE LINE PAC,AMERICAN COMMERCIAL BARGE LINE LLC,Q,C,american commercial barge line,0.0,False,,
C00418731,WILLIS NORTH AMERICA INC POLITICAL ACTION COMMITTEE,"WILLIS NORTH AMERICA, INC",Q,C,willis north america inc,0.0,False,,
C00419911,CENTURYLINK INC. EMPLOYEES POLITICAL ACTION COMMITTEE,CENTURYLINK INC.,Q,C,centurylink inc,0.0,False,,
C00420398,BOEHRINGER INGELHEIM USA CORPORATION POLITICAL ACTION COMMITTEE,BOEHRINGER INGELHEIM USA CORPORATION,Q,C,boehringer ingelheim usa corporation,0.0,False,,
C00421016,RUSSELL INVESTMENT GROUP FEDERAL POLITICAL ACTION COMMITTEE,RUSSELL INVESTMENT GROUP,Q,C,russell investment group federal,0.0,False,,
C00421487,PRAGMATICS INCORPORATED POLITICAL ACTION COMMITTEE,PRAGMATICS INCORPORATED POLITICAL ACTION COMMITTEE,Q,C,pragmatics incorporated,0.0,False,,
C00422501,CSL EMPLOYEES POLITICAL ACTION COMMITTEE,CSL BEHRING,Q,C,csl,0.0,False,,
C00423236,SUNOVION PHARMACEUTICALS INC. GOOD GOVERNANCE FUND,SUNOVION PHARMACEUTICALS INC.,Q,C,sunovion pharmaceuticals inc good governance,0.0,False,,
C00423814,PENN NATIONAL GAMING INC POLITICAL ACTION COMMITTEE,PENN NATIONAL GAMING INC POLITICAL ACTION COMMITTEE,Q,C,penn national gaming inc,0.0,False,,
C00424010,ACME BRICK COMPANY GOOD GOVERNMENT FUND FOR FEDERAL ELECTIONS,BERKSHIRE HATHAWAY ENERGY COMPANY PAC,Q,C,acme brick company good government federal elections,0.0,False,,
C00424374,"WYNDHAM DESTINATIONS, INC POLITICAL ACTION COMMITTEE","WYNDHAM DESTINATIONS, INC",Q,C,wyndham destinations inc,0.0,False,,
C00425603,TRAVELPORT INC. PAC,TRAVELPORT INC.,Q,C,travelport inc,0.0,False,,
C00425975,WINDSTREAM HOLDINGS LLC POLITICAL ACTION COMMITTEE,WINDSTREAM HOLDINGS LLC,Q,C,windstream holdings llc,0.0,False,,
C00426072,"GIANT EAGLE, INC. PAC","GIANT EAGLE, INC.",Q,C,giant eagle inc,0.0,False,,
C00426445,ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC),"ABIOMED, INC.",Q,C,abiomed inc abiomed,0.0,False,,
C00427542,"CONSOLIDATED COMMUNICATIONS PAC,  INC. - FEDERAL","CONSOLIDATED COMMUNICATIONS, INC.",Q,C,consolidated communications inc federal,0.0,False,,
C00428391,REPUBLIC SVCS. INC. EMPLOYEES FOR BETTER GOVT. PAC,REPUBLIC SERVICES INC. (FKA ALLIED WASTE NA),Q,C,republic svcs inc better govt,0.0,False,,
C00428896,DEUTSCHE BANK AMERICAS CORP. POLITICAL ACTION COMMITTEE,DEUTSCHE BANK AMERICAS CORP.,Q,C,deutsche bank americas corp,0.0,False,,
C00429001,"PURPOSE FINANCIAL, INC. PAC","PURPOSE FINANCIAL, INC.",Q,C,purpose financial inc,0.0,False,,
C00429050,THE WESTERN UNION COMPANY POLITICAL ACTION COMMITTEE,WESTERN UNION COMPANY,Q,C,western union company,0.0,False,,
C00429662,ENBRIDGE (U.S.) INC. POLITICAL ACTION COMMITTEE (ENBRIDGE-DCP PAC),ENBRIDGE (U.S.) INC.,Q,C,enbridge u s inc enbridge dcp,0.0,False,,
